index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden
0-0,0,bcCBVX,35s1,11885.0,None,d4,d4,2945,11885.0,0.041929197,-0.3190984,S,4
1-0,0,bcHCJZ,35s1,2722.0,None,d4,d4,1049,2722.0,0.1588663,0.229657,G2M,3
2-0,0,bcERMM,35s1,2208.0,None,d4,d4,942,2208.0,-0.06225152,0.2467123,G2M,0
3-0,0,bcCIOC,35s1,1844.0,None,d4,d4,854,1844.0,0.08616268,-0.15299879,S,0
4-0,0,bcGUZG,35s1,1296.0,None,d4,d4,704,1296.0,-0.14992602,0.04803709,G2M,4
5-0,0,bcFMBI,35s1,1028.0,None,d4,d4,664,1028.0,-0.3977572,-0.25172073,G1,12
6-0,0,bcGWXG,35s1,1101.0,None,d4,d4,624,1101.0,0.09668565,-0.22312249,S,0
7-0,0,bcCPEX,35s1,968.0,None,d4,d4,596,968.0,-0.22302666,0.62560815,G2M,1
8-0,0,bcGWUT,35s1,780.0,None,d4,d4,534,780.0,-0.06383638,0.100859925,G2M,5
9-0,0,bcGZHE,35s1,758.0,None,d4,d4,538,758.0,0.07005265,0.12926507,G2M,3
23-0,0,bcAFIS,35s1,11470.0,None,d4,d4,2875,11470.0,-0.30567065,0.5301726,G2M,0
24-0,0,bcGBGG,35s1,2889.0,None,d4,d4,1194,2889.0,0.10574755,-0.16519183,S,2
25-0,0,bcATVF,35s1,2030.0,None,d4,d4,912,2030.0,0.036674973,-0.07475613,S,4
26-0,0,bcDJEW,35s1,1694.0,None,d4,d4,811,1694.0,-0.09022865,-0.0862863,G1,0
27-0,0,bcBOBI,35s1,1434.0,None,d4,d4,752,1434.0,0.20769612,-0.22060476,S,3
28-0,0,bcBFCG,35s1,1307.0,None,d4,d4,698,1307.0,-0.042163584,-0.04916616,G1,3
29-0,0,bcHWZP,35s1,988.0,None,d4,d4,598,988.0,-0.101155415,0.04669173,G2M,0
30-0,0,bcFTGW,35s1,907.0,None,d4,d4,589,907.0,0.22353572,0.1940211,S,1
31-0,0,bcEQTR,35s1,874.0,None,d4,d4,554,874.0,0.10104104,-0.4012356,S,0
32-0,0,bcDHDT,35s1,727.0,None,d4,d4,536,727.0,-0.024567345,0.12901151,G2M,1
46-0,0,bcBHMR,35s1,10646.0,None,d4,d4,2813,10646.0,-0.10077679,0.16199607,G2M,0
47-0,0,bcFWMR,35s1,1901.0,None,d4,d4,714,1901.0,-0.100265265,-0.2807735,G1,0
48-0,0,bcDSMK,35s1,2264.0,None,d4,d4,953,2264.0,0.126935,-0.16179326,S,1
49-0,0,bcAIMW,35s1,1649.0,None,d4,d4,759,1649.0,-0.06174665,0.005886078,G2M,1
50-0,0,bcEWYM,35s1,1260.0,None,d4,d4,778,1260.0,0.48273292,-0.09962265,S,2
51-0,0,bcDSHY,35s1,1394.0,None,d4,d4,648,1394.0,0.07233665,-0.22943461,S,4
52-0,0,bcDLAY,35s1,1134.0,None,d4,d4,628,1134.0,-0.011213228,-0.33218715,G1,1
53-0,0,bcGKHX,35s1,885.0,None,d4,d4,600,885.0,0.025162902,-0.23836477,S,1
54-0,0,bcBDBK,35s1,874.0,None,d4,d4,562,874.0,0.005026508,-0.09870214,S,5
69-0,0,bcFGVY,35s1,9456.0,None,d4,d4,2686,9456.0,-0.08323604,0.21780342,G2M,1
70-0,0,bcATBM,35s1,2189.0,None,d4,d4,955,2189.0,-0.03236159,-0.26071054,G1,5
71-0,0,bcEVIJ,35s1,2396.0,None,d4,d4,1002,2396.0,-0.098433495,0.60883445,G2M,0
