,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges,7_names,7_pvals,7_logfoldchanges,8_names,8_pvals,8_logfoldchanges,9_names,9_pvals,9_logfoldchanges,10_names,10_pvals,10_logfoldchanges,11_names,11_pvals,11_logfoldchanges,12_names,12_pvals,12_logfoldchanges,13_names,13_pvals,13_logfoldchanges
0,ID2,5.806328302489191e-51,1.7316693,MSGN1,1.7587547216533134e-88,3.2679718,HES5,3.136409872703755e-152,5.2380533,TBXT,3.1125730943194038e-148,3.8552055,MEOX1,1.0190484118747603e-176,4.275777,FN1,1.1792146840146396e-91,4.2699366,LIX1,3.2715925761472416e-28,5.868129,KRT7,2.7886140006235897e-15,4.6095653,HBZ,5.938460158334631e-48,13.966153,TUBA1A,0.026660885248254086,0.7595131,LITAF,0.012417508409114864,7.217018,CDH10,0.0075436613720444926,9.121077,MYCT1,0.001807512751176858,10.099947,URM1,0.004887643135594072,1.9579818
1,MSX2,4.228778083852032e-36,1.9154017,FGF18,4.289007993261621e-87,2.4142113,GBX2,1.5017793625269436e-60,4.0388646,RASGRP3,5.1973806561891614e-54,3.2453384,TCF15,1.8252173823195785e-136,4.236398,NREP,1.1227439500215638e-82,3.0984952,PRRX1,7.06013177637053e-23,4.109233,FOXA1,8.84993092825294e-15,7.326276,HBA1,5.938460158334631e-48,14.22145,RAB6A,0.03700299473329016,0.7953301,SYT4,0.07321842872321437,8.161155,TBXT,0.010633197719410464,1.7504871,CD93,0.00757415533321748,8.860557,ACO2,0.005267364231443616,2.1117485
2,ID1,3.0816836019826624e-24,1.213381,DLL1,5.522932045834927e-48,2.3220243,PMP22,1.3242203521044639e-51,3.4994328,WLS,6.06690254129492e-36,1.4076952,SHISA2,1.4238975336891045e-107,3.8138494,PDGFA,1.5675861819534537e-75,4.579656,ALDH1A2,5.251414195426333e-13,4.2724643,LTF,4.451130389123871e-13,4.831677,HBBR,5.938460158334631e-48,14.627652,GAL,0.03982510218773487,8.161161,LAPTM5,0.07328227930588822,7.9011235,DLL1,0.011341374658733971,1.596253,NOC2L,0.02302601304025922,2.0596712,WDR18,0.005921400205758597,2.5669286
3,TWIST1,3.8458029109848765e-24,2.0998518,PPFIBP1,2.1295905974943502e-35,1.3891174,COTL1,3.3772785433221664e-51,1.6034766,WNT5A,1.2623179637119625e-35,1.3739672,NPY,5.1864052383209296e-64,5.7453785,ANXA2,1.1664299365941611e-63,4.5511565,Meis2a.2,1.0611786395955712e-10,2.5161228,KRT18,1.7079152987370446e-12,5.089055,HBE,5.938460158334631e-48,14.222498,SERINC1,0.04617600634297249,1.0716345,TMEM8B,0.15317206746908626,7.0089536,SGPP1,0.026172640668322374,8.391046,BIVM,0.061366994977116826,1.8806807,SH3GL1,0.006747189365991653,2.486174
4,MDK,1.4312598061114638e-21,0.7248803,RNH1,2.9037034597062833e-27,1.2887692,VIM,3.9552733393112483e-47,1.698416,APCDD1,8.584894079340817e-29,2.530582,NBL1,3.2984582825160096e-56,2.4384222,CXCL14,8.489705586684148e-63,6.766841,RDH10,3.2115265029836517e-10,3.6448832,LIX1,2.5825506492008487e-12,4.7945914,HBM,5.938460158334631e-48,14.151493,ACACA,0.0473790685070323,5.9210095,NDUFAF1,0.15625861859069326,1.0707436,SUDS3,0.03389268304360003,1.5184538,LAMP1,0.07604876560537914,1.319434,CTNNB1,0.010472912776748144,1.4233755
5,PRRX1,1.6769060327018245e-20,2.3752906,CDH2,1.6620675398791527e-25,0.9291804,RHOB,1.1503248647802514e-46,2.3505394,METTL6,8.903326270446185e-28,1.8805897,TMSB4X,3.221949240298801e-48,1.0909885,MDK,1.0707478666657253e-57,1.843673,NR2F2,2.3336772896738203e-08,2.4065597,GAPDH,3.259144383328577e-09,0.96150327,SLC4A1,2.3025883638365416e-45,9.986727,PDCL3,0.059400588902197,1.0720725,FGF18,0.1876874743184911,0.74574345,CHST15,0.03762862252807868,1.7469455,ID4,0.08199075153929533,1.2255495,MAPRE1,0.011279171857469447,1.6480477
6,GAPDH,5.983401803790812e-12,0.3319938,TMEM100,2.185351294553198e-19,2.0462341,MARCKSL1,1.001873444606309e-39,1.4269661,CD99,1.5066746766713036e-27,2.4146335,SMOC1,7.258292089509052e-47,2.2348318,TMSB15B,1.343289341657514e-51,1.5204747,KIFAP3,2.1224326010933204e-06,1.8953295,LGALS3,3.5402910297899515e-07,5.991081,TSPO2,4.945438237906232e-45,7.401768,RAC1,0.06608346359273073,1.7726119,TIAL1,0.18782086592642722,1.1277856,MAGT1,0.06736443661293119,1.8747625,CHMP2AL1,0.08537916118947547,2.207604,DNAJA2,0.013041271447530443,1.5559205
7,MSX1,7.437768269623678e-10,0.848528,HAPLN1,2.7139157391312084e-17,1.8544717,ALDOC,7.453007441084585e-33,0.83487034,HOXD12,2.6224233262979713e-25,1.2560635,NOTCH1,1.9946411892330782e-44,1.8979821,CLDN1,8.298880999581425e-44,5.3762317,BAMBI,9.648288421388011e-06,1.8227515,EPCAM,1.5757426557671965e-06,3.1849182,FTH1,1.4181926470291724e-43,3.4712512,DHODH,0.06733153393130122,1.3675452,ATP6V1E1,0.20852223281130677,1.0860915,GPR143,0.07517745355849356,8.466883,ILF2,0.09304533481063813,0.6902265,COTL1,0.013731144522555026,1.5434809
8,WNT5A,9.40483064517006e-08,0.6441551,MEOX1,3.8096139018395677e-16,0.94442403,PTN,1.7252734630136396e-29,2.1461408,MSX1,1.485139780019535e-24,1.3107777,MPP6,4.043462718782523e-34,2.2868001,KRT7,4.155802720377726e-43,4.238716,CDK6,1.3778265656258343e-05,1.87482,PNRC1,1.9518243890314295e-06,1.276809,UROD,7.949581582338595e-38,5.684229,PRKAG2,0.08029751538969405,1.3226422,VDAC3,0.22882130332641004,0.6048979,WLS,0.07582509142654498,1.0218515,HNRNPUL1,0.10151113387016446,1.6074494,ATP5MF,0.0187147664833786,1.1763307
9,ID3,2.2788935504449115e-07,0.47036198,NOTCH1,4.670704096495007e-16,0.9590982,ACVR2B,2.2809680003371766e-23,1.6624148,FGF18,4.160201961622256e-24,1.3893391,DCBLD2,5.053668185406542e-34,1.8449471,S100A11,8.973240745001121e-41,5.272787,MDK,3.4040381342000444e-05,0.88543826,S100A6,2.9494492794728627e-06,2.3712716,TFRC,1.6449821402295777e-37,5.4839416,TBC1D22B,0.08437340659579376,27.147814,ZYG11B,0.2330834968430856,2.5487657,MRPS18A,0.0768050773624641,2.3701692,RRAS2,0.10614122358398842,1.417734,P4HA1,0.018891198848249958,2.6451428
