index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden
0-0,0,bcGNGY,6s1,12513.0,None,d3,d3,2996,12513.0,0.031340703,-0.48330253,S,5
1-0,0,bcCEFA,6s1,1379.0,None,d3,d3,656,1379.0,0.26913452,-0.09997821,S,4
2-0,0,bcCGQR,6s1,1193.0,None,d3,d3,624,1193.0,-0.06625493,-0.07866385,G1,0
3-0,0,bcFFEA,6s1,771.0,None,d3,d3,617,771.0,-0.30030477,0.18154985,G2M,3
4-0,0,bcAUSU,6s1,724.0,None,d3,d3,575,724.0,-0.12214988,-0.08249016,G1,4
127-0,0,bcDYVD,6s1,11510.0,None,d3,d3,2903,11510.0,-0.088795245,-0.17405578,G1,1
128-0,0,bcGFQD,6s1,1408.0,None,d3,d3,652,1408.0,0.26060045,0.022036172,S,0
129-0,0,bcGPPN,6s1,986.0,None,d3,d3,542,986.0,-0.09200898,0.32074487,G2M,1
130-0,0,bcCOWF,6s1,766.0,None,d3,d3,560,766.0,0.076965496,-0.04910437,S,3
131-0,0,bcEQTS,6s1,602.0,None,d3,d3,581,602.0,0.12444561,-0.043136045,S,1
254-0,0,bcERNG,6s1,10717.0,None,d3,d3,2849,10717.0,-0.20507737,0.25800616,G2M,4
255-0,0,bcDTVJ,6s1,1489.0,None,d3,d3,720,1489.0,0.028530214,0.1656402,G2M,0
256-0,0,bcBMLE,6s1,950.0,None,d3,d3,651,950.0,-0.07079151,0.4631549,G2M,0
257-0,0,bcGUTD,6s1,740.0,None,d3,d3,567,740.0,0.14235055,0.0672093,S,4
381-0,0,bcBJDS,6s1,9948.0,None,d3,d3,2735,9948.0,-0.13179576,-0.14041539,G1,5
382-0,0,bcFSAR,6s1,1308.0,None,d3,d3,691,1308.0,0.22467117,-0.059146333,S,1
383-0,0,bcFRPF,6s1,966.0,None,d3,d3,591,966.0,-0.06346979,-0.20088841,G1,1
385-0,0,bcHSYE,6s1,775.0,None,d3,d3,569,775.0,0.07865831,0.18200833,G2M,1
508-0,0,bcEGBK,6s1,8076.0,None,d3,d3,2377,8076.0,0.34547073,-0.23033346,S,4
509-0,0,bcEPNV,6s1,1577.0,None,d3,d3,691,1577.0,0.22389777,-0.115763366,S,4
510-0,0,bcHPBS,6s1,914.0,None,d3,d3,588,914.0,-0.25554287,-0.14289111,G1,0
511-0,0,bcATXT,6s1,826.0,None,d3,d3,582,826.0,-0.01390538,-0.13795552,G1,4
635-0,0,bcHYPF,6s1,7680.0,None,d3,d3,2390,7680.0,-0.12489571,0.11668247,G2M,1
636-0,0,bcGKZA,6s1,1175.0,None,d3,d3,636,1175.0,0.08660737,-0.090243585,S,4
637-0,0,bcEYLC,6s1,921.0,None,d3,d3,621,921.0,-0.023360252,-0.27644986,G1,0
638-0,0,bcAGUE,6s1,920.0,None,d3,d3,597,920.0,-0.015421048,-0.041699495,G1,2
762-0,0,bcBLKM,6s1,7832.0,None,d3,d3,2431,7832.0,0.020724818,-0.4158603,S,5
763-0,0,bcIGLP,6s1,1358.0,None,d3,d3,632,1358.0,0.0025959332,0.14717278,G2M,0
764-0,0,bcGRLD,6s1,1006.0,None,d3,d3,613,1006.0,-0.16841745,-0.027942702,G1,0
