,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges
0,JAM3,3.188203930257905e-17,1.5901375,TBXT,3.3881795027021915e-21,1.3476883,JAM3,6.096973321254004e-05,0.7754596,CALM2,1.1326226555779036e-06,0.72879505,PTN,4.326116628741293e-34,2.9963465,KRT7,1.0080371095865162e-27,4.7748203,CHRD,5.877964153863988e-20,7.6236324
1,AKAP12,8.686913962746949e-16,1.0417835,CDH2,2.3542558164992006e-16,0.938614,SEPT9,0.0004070545249488027,0.68517566,SET,4.571138445241433e-06,0.58147395,ALDH1A2,4.315376349320324e-19,3.5785282,KRT18,1.0008146705848535e-20,3.0587971,TBXT,9.57400787837731e-13,2.7862372
2,P4HB,2.3662183121594567e-11,0.72665906,APLP2,4.818796421924192e-10,0.9562801,KRT19,0.002198281405263203,0.6666855,SRSF1,2.8039882988585505e-05,0.5337987,RNH1,1.9923879805484507e-12,1.8343194,EIF4A2,6.372313642773005e-15,1.6886718,NOTO,5.066830450503442e-10,5.2924056
3,MSX1,2.4529937505581763e-07,0.7064911,CLDN1,6.42270293755685e-10,1.3998934,RHOU,0.0025681536161503383,1.1247408,RPS2,0.0001436771260935148,0.42014992,FGF18,2.389855508676444e-11,2.0554435,KRT19,5.808393543392e-14,2.2325325,LTF,1.6346943550842988e-06,5.8467436
4,NUCKS1,8.37500096166601e-06,0.41193077,HOXA7,2.5798224201722388e-09,0.87114036,PITX2,0.0035354114276715497,2.0435543,HSP90AA1,0.0001595552468422708,0.45919588,MSGN1,3.767212978765372e-09,1.766127,CALM2,3.063334776929075e-11,1.5159256,NOV,5.524952777682238e-06,6.4316435
5,FN1,2.6224179649357678e-05,0.60531366,DLL1,3.06668080008369e-09,1.8091896,JCAD,0.003565513426133134,1.3518822,FABP5,0.00027569260552540316,1.7034177,MEOX1,1.1319538848288573e-07,4.6070247,PABPC1,1.0441463937870988e-09,1.0413067,ERGIC2,1.9959445054560286e-05,2.4547188
6,TUBA1C,3.801716886224695e-05,0.5298887,HES5,1.1781828009995104e-08,2.2084925,KRT18,0.01707640549929115,0.6650836,EIF4G2,0.0005856142252815405,0.3627382,SMOC1,4.5358151347240504e-07,1.9565363,TMSB15B,8.724788742228815e-09,0.85068405,H3F3B,4.9710626492605965e-05,1.0986596
7,EEF1D,6.577699074742797e-05,0.31074914,WLS,2.3979013957996513e-08,0.89890444,FIBIN,0.019587035127658692,1.1716105,SNRPD1,0.0005985013405364775,0.47215927,DCBLD2,9.391171926854305e-07,1.7669268,HSP90AA1,1.3709577055363892e-08,0.8700551,CA10,7.998354301838768e-05,6.489852
8,CFC1,0.0001142316388345701,1.4251251,NKAIN4,3.7279162025365736e-08,2.008163,MSX1,0.020437213373787712,0.38505316,PABPC1,0.0011754655896436248,0.3997993,TCF15,4.1812357381020655e-06,3.620309,YWHAQ,2.907494756601216e-08,0.9854693,HSPA5,0.00012824587135415273,1.4545016
9,LDHB,0.00012999034321933565,0.24364483,CHST15,3.075895245607337e-07,1.2157632,FARP1,0.034016665507782956,0.4373815,PCNA,0.0012162617744643468,0.47044918,DLL1,5.441662693971487e-06,1.540864,CIRBP,3.917853310409027e-08,0.840538,SMOC1,0.0001451234660049382,2.5793355
10,MSX2,0.00044297741034436986,1.2044334,NPM3,1.4589724630271411e-05,0.3772169,FN1,0.060818869179017854,0.312467,PRELID1,0.0013657511413686378,0.5735494,NOTCH1,8.121626173135396e-06,1.297843,LASP1,4.2707846503391394e-08,1.9147985,CDH2,0.00032422558116081184,1.1472969
11,CDH2,0.0005105042861730587,0.35308018,LMO4,5.3703771702666176e-05,0.7976875,MSMO1,0.06262274557961034,0.7326982,ARPP19,0.001482320981538129,0.53724754,LRIG3,9.834002591815064e-06,1.8657422,MYL9,8.262566387586268e-08,2.1710157,APLP2,0.0003760549195576942,1.365976
12,ID2,0.0007870277260809777,0.6310763,HOXA4,0.00010839542065576054,1.3963559,METRNL,0.06264237995489097,1.4027796,HSPE1,0.002310961326928037,0.43720347,PPFIBP1,4.3612541930538736e-05,0.7934732,RANBP1,1.1542367333962088e-07,1.0903085,SPARC,0.0010776145544393447,2.032109
13,EEF2,0.0012888235473449412,0.19582842,NME2,0.00016316261018508639,0.23202018,HOXB5,0.06949089837957452,0.7974263,GNL3,0.0024750828365851948,0.75763226,FGFR1,6.61485232943882e-05,1.0176032,GPX1,1.2120490630317467e-07,2.1396716,STRA6,0.0015571460663576734,2.1757247
14,RBBP6,0.0018083422367323994,0.46010482,PRTG,0.00026037491102739237,0.34610996,SMAD6,0.07867870179197715,0.8761564,ANP32E,0.0036053169776603324,0.6620335,Meis2a.2,0.00032438478356179806,1.3803042,PAICS,1.748203026693202e-07,1.6580042,CTNNB1,0.0015581737768429786,1.1326214
15,FAU,0.004473588488898793,0.21175176,NOTCH1,0.0004806899074626721,0.8788947,TIMM8A,0.08688979572282865,0.25208637,SLC25A5,0.00373283023327527,0.5187031,NUCKS1,0.0003283825778470431,0.40388379,RPS2,1.960875560815236e-07,0.838657,ACTG1,0.002566641058567185,0.6229748
16,CLEC19A,0.006475155887054468,0.5690536,TUBA1A,0.0005795908904073301,0.4272266,GFM1,0.08713382857335576,0.657192,CIRBP,0.004609885642045157,0.3292481,PRTG,0.00039860441888106465,0.42941767,NDRG1,6.647416998068888e-07,4.9544296,PUM1,0.0030243666243516347,1.3056139
17,MFGE8,0.007305735062975734,0.7357176,FGF18,0.0005970939463115458,1.1025593,MAD1L1,0.09092764256420628,0.58341634,PCBP2,0.004717053338103809,0.45453566,APLP2,0.00043434420900199873,0.62917435,RPS15A,1.0343644446297148e-06,0.7612308,HES4,0.004213194535185572,2.5365105
18,BAMBI,0.008254935850136846,0.7638041,FGF19,0.0008067830914554599,1.6204911,MRPS22,0.09131422032002519,1.2294993,UCH-L1,0.005394753818746813,0.7391869,CDH2,0.0005019893372362927,0.5002567,PLPP1,1.3618480376325647e-06,2.1388354,NOTCH1,0.004554398121110973,1.4081118
19,PSMB7,0.01231328202789448,0.36030877,NASP,0.0008631854281082926,0.37382686,BAMBI,0.0925088692354282,0.5884016,CLDN1,0.005447197258172364,0.7085796,OLFM1,0.0011103109544988842,2.1144621,HSPE1,1.5886189910476072e-06,0.93471956,RPL26L1,0.0049884343114816754,0.53894365
20,KDR,0.01282081343849477,2.1993484,APCDD1,0.0009324116642441806,0.9494978,TAF12,0.0981469808391054,0.73472273,OAT,0.008476491491149495,1.0530891,EIF5B,0.002437705945683197,0.48015454,ATP5MC3,1.7482397881814367e-06,1.012776,HYOU1,0.005322350419516239,1.9832132
21,SMAD6,0.01591868670219681,1.0628335,YBX1,0.002218697027253444,0.16311854,HAPLN1,0.09840190750362976,0.8389599,KPNA2,0.008603492733796009,0.7319529,TMEM100,0.003830801660925653,2.8467348,EIF5,2.2719210507529082e-06,1.0168952,TCF15,0.0074369352527375145,3.2188623
22,GATA5,0.016687653045130472,1.1988506,PARP1,0.0022430662475401777,0.36871883,PHLDA2,0.09924120945225752,1.2374357,ATP5MC3,0.010045539416954009,0.39480358,STRA6,0.006089552150632783,0.9984289,RAN,3.5204434105734827e-06,0.6825605,FSTL1,0.00812909796975538,2.2698116
23,ANP32B,0.018462863622380674,0.19372042,LFNG,0.002629992414912473,1.2633915,LMO2,0.10193916726143745,2.4209285,SUMO2,0.013097466883914681,0.45758164,CADM1,0.006575090477255453,1.1111919,TRA2B,4.7891821329962495e-06,1.0515133,angiopoietin-2,0.008626892673163564,4.7056103
24,SDC3,0.020625269072427087,0.5437134,WNT8A,0.002723556554270647,1.0255519,MRPL21,0.10693323994587713,0.6658004,FABP7,0.014996446246780117,0.7161172,STMN1,0.00862437486062088,0.30945814,CSRP2,5.717734325142742e-06,5.2993455,NDUFA4,0.008710002218045245,0.81831145
25,NIP7,0.020632092245822613,0.4415066,AKAP12,0.003006743616877101,0.37870955,REXO4,0.11235529877741021,0.7581463,EIF4A2,0.016334084762310675,0.3666449,CYB5R3,0.008847763977968553,1.2112073,BASP1,7.5973595887688576e-06,1.2717034,HNRNPA1,0.009634879379622917,0.56831735
26,IMPDH2,0.021000012971015697,0.30183393,DRAXIN,0.003357170927227354,1.6390417,TUBA1C,0.1198197884943447,0.22176012,GPI,0.017280671154749228,0.41581303,SP5,0.010143916063468253,0.5715382,DDX5,2.3472593162142906e-05,0.73243237,GJA1,0.012803469000710417,1.1398834
27,FIBIN,0.021670993828225186,1.3932365,PALD1,0.005202344896164869,0.33867288,LDHB,0.12011829039549074,0.12757698,HOXB7,0.01765792104717106,0.9482814,DNMT3A,0.011440580287414301,0.53461003,ZNF593,2.889366641469917e-05,1.1457778,RPL35,0.012845025771999625,0.59875894
28,ATP5PB,0.021688806592743394,0.21366438,ILF2,0.005300407010835116,0.29902917,ID2,0.120533841988301,0.28682923,POLR2E,0.01811339220238021,0.603635,MEX3A,0.014548252040563259,0.5336894,ENO1,3.1151859804624315e-05,0.59468627,TMSB15B,0.013526355967829164,0.60304856
