,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,MSX2,PLPP1,MSGN1,TBXT,AGRP,HES5,MEOX1,FN1,Wpkci-7,SOX17,LIX1,CHRD,ACACA,SLC26A8,HBZ,LAPTM5,NRXN3,NPPA,KCNG3,GAS7,RNF25,CDCP1,JHY
1,ID2,CLDN1,FGF18,APCDD1,ALDH1A2,PMP22,TCF15,ANXA2,UPB1,KRT7,PRRX1,TBXT,GAL,NPAS2,HBBR,PURG,CLDN10,IGF1R,LRIT2,PDE1C,RAB27A,S1PR1,ATG3
2,TWIST1,LARP7,DLL1,RASGRP3,AKAP12,COTL1,SHISA2,NREP,SLC25A24,GATA5,S100A6,NOTO,ESYT3,NGB,HBM,TBC1D9B,CD79B,CD40,STAC,SLC9A3,PRTG,PLPP1,BASP1
3,PRRX1,UCH-L1,CDH2,FGF19,MESP1,GBX2,NBL1,PDGFA,ZNF236,PLCXD1,MNX1,LTF,KLHL11,NEU2,HBE,SIX4,PARP12,HNRNPUL1,PSMD1,FKBP2,NUS1,CLUH,PRCP
4,ID1,AP1S3,PPFIBP1,CHST15,CDH2,RHOB,NPY,KRT7,KNDC1,APOA1,ID3,NOV,UGCG,STAMBPL1,HBA1,WDPCP,GUCA1A,LETM2,TMEM167A,ANKRD13A,SFXN4,ZCCHC7,TIMP3
5,FIBIN,EPCAM,HAPLN1,WLS,GATA5,VIM,SMOC1,CXCL14,PGA3,KRT18,GAPDH,SST,DGLUCY,SLAIN2,SLC4A1,FAM237B,C6orf58,TMOD4,FTH1,CREG1,ITSN1,ACOX1,SMYD2
6,MSX1,Wpkci-7,TMEM100,FGF18,RDH10,HOXA11,NOTCH1,S100A11,HMX2,ANO3,HOXD13,angiopoietin-2,DDC,FAM13C,TSPO2,NINJ2,IL17RA,CCT5,PARP1,RMND1,RAB6A,HSD11B2,SYTL4
7,BAMBI,PGM1,SMOC1,HOXA7,CD24,ACVR2B,COLEC12,KRT19,CDH5,PITX2,HOXA9,CDH2,PSKH2,ITGAV,FTH1,RAB30,NDUFS8,AIP,SERBP1,RNF152,NUDT14,ASPG,NTPCR
8,HOXD8,ING5,CLEC19A,WNT5A,CLEC19A,PTN,TMSB4X,IRF6,PTPN4,Wpkci-7,NREP,FOXA1,RTN4R,GTSF1,TFRC,GOLIM4,IFT46,TLE4,HADHB,ARPC2,MTHFD1L,PAIP1,SULF2
9,EBF3,YEATS4,NOTCH1,CD99,KDR,TUBA1B,DCBLD2,MDK,RGS5,FOXA2,HOXD12,C9H2ORF82,NPY1R,PVALB,UROD,WDR89,NSUN5,GPATCH1,RSL24D1,KLF10,QRFPR,SDSL,MTFR1
10,CDH11,HTRA1,RNH1,GJA1,JAM3,APOH,MPP6,WNT6,DTX1,PDZK1IP1,KIFAP3,POSTN,CD48,RF00413,HDGF,TMCO6,CITED4,KIF18B,DUT,ALDH4A1,SLC25A3,ZDHHC16,HOXD11
11,WNT5A,FRZB,DCBLD2,DLL1,SGPL1,GNG10,PTN,TMSB15B,FGD4,TMSB4X,LTF,TIMP3,VEZT,TMEM116,TUBB1,gga-mir-1571,SLC12A7,WNT5A,PGAM1,NRBF2,SNU13,ATP6V0E2,HOXD4
12,BMP4,B2M,LRIG3,HOXD12,PALD1,GLIPR2,ANXA5,TPM1,HYKK,RGN,ISL1,WIF1,YRDC,ND4L,PRDX3,CGGBP1,SPPL3,SCARB2,FCF1,ODF1,TSPAN14,VTN,COX5A
13,MDK,METAP2,MEOX1,CDH2,PRTG,HOXC10,GPC4,PURH,BTBD8,NDRG1,RASL11B,CA10,R3HDM2,FAM135B,PABPC1,TECPR2,ANKRD28,SYNM,GJA1,TWF2,METRNL,LYSMD2,ANO5
14,COL1A1,XPA,ARHGDIB,MSX1,FST,CTGF,FSTL1,GPX1,gga-mir-12259,AIF1L,BAMBI,GOLPH3L,PLPP1,CIB2,HMBS,ORC1,SEMA6A,PCCB,EIF4EBP1,ORMDL3,CHCHD3,SLC9A8,DPP7
15,LDHB,VRTN,PCP4,ENHO,POMC,HOXD12,RHOU,IGFBP2,ZBTB21,EZR,KRT7,STRA6,FAM208B,PPP2R2B,FECH,WDR86,MBD5,POLE2,ARHGDIA,TMEM39A,CDX1,HINFP,YAE1
