index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden,pr_NearestNeighbors,pr_SVM-Linear,pr_SVM-RBF,pr_DecisionTree,pr_RandomForest,pr_NeuralNet,pr_NaiveBayes,pr_LDA
0-0,0,bcCBVX,35s1,11885.0,None,d4,d4,2736,11885.0,0.009945095,-0.35376692,S,6,aPSM,IM,SOM,SOM,SOM,aPSM,aPSM,aPSM
1-0,0,bcHCJZ,35s1,2722.0,None,d4,d4,1178,2722.0,0.13858433,0.11780554,S,3,ENDTH,IM,LPM1,LPM2,LPM1,pNTB,LPM1,LPM1
2-0,0,bcERMM,35s1,2208.0,None,d4,d4,1068,2208.0,-0.103479266,0.23628831,G2M,0,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1
3-0,0,bcCIOC,35s1,1844.0,None,d4,d4,979,1844.0,0.056567676,-0.17964186,S,4,IM,LPM1,LPM1,LPM1,LPM1,IM,LPM1,LPM1
4-0,0,bcGUZG,35s1,1296.0,None,d4,d4,833,1296.0,-0.13707294,0.12977289,G2M,9,SOM,IM,SOM,strNTB,LPM1,SOM,strLPM,SOM
5-0,0,bcFMBI,35s1,1028.0,None,d4,d4,786,1028.0,-0.36662558,-0.2622705,G1,9,ENDTH,aNTB1,pNTB,SOM,LPM2,NOTO,LPM2,NMP
6-0,0,bcGWXG,35s1,1101.0,None,d4,d4,748,1101.0,-0.0234574,-0.20552485,G1,0,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2
7-0,0,bcCPEX,35s1,968.0,None,d4,d4,715,968.0,-0.132041,0.63204557,G2M,2,IM,IM,LPM1,SOM,LPM1,SOM,LPM1,LPM1
8-0,0,bcGWUT,35s1,780.0,None,d4,d4,654,780.0,-0.12542802,0.16651574,G2M,15,EPID,IM,LPM1,LPM2,LPM1,SOM,strLPM,strLPM
9-0,0,bcGZHE,35s1,758.0,None,d4,d4,658,758.0,0.109759115,0.08592008,S,5,BLD,pNTB,pNTB,SOM,LPM2,pNTB,IM,pNTB
23-0,0,bcAFIS,35s1,11470.0,None,d4,d4,2727,11470.0,-0.34408364,0.42752886,G2M,0,ALNT,IM,LPM1,SOM,LPM2,ALNT,LPM1,LPM1
24-0,0,bcGBGG,35s1,2889.0,None,d4,d4,1327,2889.0,0.11587966,-0.14594874,S,5,ENDO,aNTB1,LPM1,strNTB,LPM2,SPP,LPM1,aNTB1
25-0,0,bcATVF,35s1,2030.0,None,d4,d4,1037,2030.0,0.0834291,-0.06601669,S,6,aPSM,SOM,SOM,SOM,SOM,LPM1,LPM1,aPSM
26-0,0,bcDJEW,35s1,1694.0,None,d4,d4,952,1694.0,-0.095480226,-0.076364964,G1,3,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1
27-0,0,bcBOBI,35s1,1434.0,None,d4,d4,886,1434.0,0.266662,-0.22608829,S,3,pNTB,pNTB,pNTB,strNTB,pNTB,NMP,pNTB,aNTB1
28-0,0,bcBFCG,35s1,1307.0,None,d4,d4,825,1307.0,0.0713349,-0.010672122,S,3,EPID,LPM1,LPM1,WD,LPM1,LPM1,LPM1,LPM1
