,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges,7_names,7_pvals,7_logfoldchanges,8_names,8_pvals,8_logfoldchanges,9_names,9_pvals,9_logfoldchanges,10_names,10_pvals,10_logfoldchanges,11_names,11_pvals,11_logfoldchanges,12_names,12_pvals,12_logfoldchanges,13_names,13_pvals,13_logfoldchanges,14_names,14_pvals,14_logfoldchanges,15_names,15_pvals,15_logfoldchanges,16_names,16_pvals,16_logfoldchanges,17_names,17_pvals,17_logfoldchanges,18_names,18_pvals,18_logfoldchanges,19_names,19_pvals,19_logfoldchanges,20_names,20_pvals,20_logfoldchanges,21_names,21_pvals,21_logfoldchanges,22_names,22_pvals,22_logfoldchanges
0,MSX2,8.28198271142839e-50,2.0959723,PLPP1,1.1875256404011559e-219,3.4651518,MSGN1,3.019301871159455e-97,2.6567829,TBXT,4.501271144223524e-120,2.370334,AGRP,1.605798571221594e-97,4.4196677,HES5,2.2348891903382872e-133,5.142467,MEOX1,7.5147982344827324e-149,4.9713254,FN1,1.1584972913595746e-61,3.1466916,Wpkci-7,2.4825877526799724e-06,0.8976838,SOX17,1.6115911799825683e-38,5.64811,LIX1,3.7920160401898324e-27,7.1814995,CHRD,3.161843259488394e-33,6.2698493,ACACA,1.697876051523594e-08,5.846738,SLC26A8,3.177014974381512e-05,7.1901207,HBZ,4.9108611035767816e-98,15.160748,LAPTM5,0.00019809384881751144,10.917935,NRXN3,4.540129028298915e-06,7.6640096,NPPA,1.956473464083198e-06,10.091611,KCNG3,0.008122534830425106,11.027733,GAS7,0.016296890849358456,10.126673,RNF25,1.1587440362472664e-06,10.779583,CDCP1,0.00020772833223140012,11.928296,JHY,4.172019378059663e-11,11.23841
1,ID2,3.270531133152319e-37,1.1633587,CLDN1,1.803198551801713e-171,2.8231833,FGF18,1.8642402772107027e-93,2.911765,APCDD1,1.3335882639563742e-45,2.4978585,ALDH1A2,8.174240994466403e-47,2.6443167,PMP22,1.232827936794039e-68,4.683356,TCF15,3.1450715094470176e-108,4.843627,ANXA2,3.993188384328431e-55,4.8543134,UPB1,0.00331258198726856,4.758929,KRT7,3.5213925541910445e-30,3.600762,PRRX1,2.4655585162411945e-24,4.125692,TBXT,6.02883232018898e-20,1.8912886,GAL,2.4957701376995014e-08,7.643811,NPAS2,3.171177254665482e-05,6.7834454,HBBR,3.8749824847838215e-85,15.847265,PURG,0.0004984687239103907,6.0340037,CLDN10,9.897412498221189e-06,8.506704,IGF1R,0.015377637446984393,1.9604201,LRIT2,0.01863556755695811,28.065413,PDE1C,0.02408476577732851,9.676982,RAB27A,0.08093786796569359,2.7817492,S1PR1,0.10250470707137625,4.1552873,ATG3,0.06991546992032084,2.8355467
2,TWIST1,6.253306569585688e-36,2.1826634,LARP7,2.5224566581070308e-101,2.4491374,DLL1,9.669933075239956e-52,1.9839973,RASGRP3,1.5995831015289338e-40,2.6763604,AKAP12,1.8228804433072316e-44,1.6719625,COTL1,2.448770781555868e-50,2.0684469,SHISA2,2.0502540895262982e-77,3.6214771,NREP,2.2251183267697294e-53,3.6865182,SLC25A24,0.0036355139831722653,3.6066475,GATA5,2.707499293341173e-18,2.7694652,S100A6,9.729180305579743e-23,3.6881764,NOTO,9.255175893236927e-16,4.1085663,ESYT3,0.0006908107658849354,5.692192,NGB,0.0006826119636927213,6.1643186,HBM,2.7916383782321316e-80,15.250049,TBC1D9B,0.0008582464009478574,6.422946,CD79B,0.004317869038607377,9.046845,CD40,0.02099151226180132,27.495392,STAC,0.01863556755695811,28.065413,SLC9A3,0.0817078232496277,11.29515,PRTG,0.08896212132691315,1.7177019,PLPP1,0.10338630880272459,2.177198,BASP1,0.06625296921520789,1.7727203
3,PRRX1,4.829697955924703e-25,2.3335645,UCH-L1,9.222435344234636e-83,2.1075377,CDH2,1.0458425256996543e-42,1.1601145,FGF19,4.5068525716723607e-32,2.9793146,MESP1,5.761833907405893e-34,2.6892507,GBX2,4.954787218002674e-48,2.7685812,NBL1,3.44899259651102e-60,3.497064,PDGFA,4.4270802142719226e-52,3.5271854,ZNF236,0.006206347668185983,3.7089727,PLCXD1,3.5582226766689256e-16,5.0786223,MNX1,4.337953154232348e-13,5.119188,LTF,8.282197583031319e-11,4.2153926,KLHL11,0.0015716214402948406,7.246258,NEU2,0.0006820992625907535,5.8710628,HBE,1.6183764983300788e-80,15.183525,SIX4,0.004787872878481975,7.630071,PARP12,0.010264401647515457,3.1554918,HNRNPUL1,0.036644521386799446,1.8739862,PSMD1,0.01240699281964507,1.629241,FKBP2,0.09231425033103466,2.9395442,NUS1,0.1263370333025744,1.7493716,CLUH,0.12187561265415411,3.7837903,PRCP,0.11229578085797279,3.6204128
4,ID1,8.707589906900543e-20,0.89002377,AP1S3,1.1568634809068505e-78,2.6994843,PPFIBP1,1.0358659293440641e-41,1.4293222,CHST15,2.9975144528386693e-32,1.9700669,CDH2,3.38883281175716e-31,1.1264986,RHOB,3.118679079284717e-36,2.1285787,NPY,1.358308654676368e-56,5.578322,KRT7,2.867811950141265e-42,3.5730925,KNDC1,0.008360014993451787,3.9266393,APOA1,8.053402373828177e-16,4.237035,ID3,1.6451219173819732e-13,1.5498701,NOV,6.697766717095117e-10,4.842692,UGCG,0.001872981451631922,6.282267,STAMBPL1,0.00169438288940204,4.2337685,HBA1,8.877278595711909e-77,15.331669,WDPCP,0.007286878255260794,8.908052,GUCA1A,0.013301325541502141,7.7655134,LETM2,0.05280539993462503,3.6022115,TMEM167A,0.015717630817781856,2.134777,ANKRD13A,0.12217906070369264,1.8657701,SFXN4,0.14851155356636334,2.8506866,ZCCHC7,0.11935168581180937,3.5099719,TIMP3,0.16357133637680715,3.1180937
5,FIBIN,1.0337028747627426e-18,1.755397,EPCAM,2.4428311624912146e-51,1.9400373,HAPLN1,3.824662018328125e-33,2.1352165,WLS,6.740702317487585e-31,1.2204231,GATA5,1.7871177860287398e-27,2.3246076,VIM,4.418929821301491e-33,1.6557331,SMOC1,1.0879654717936742e-45,2.8368034,CXCL14,9.803648874124972e-38,4.575286,PGA3,0.010946676215369938,3.7247217,KRT18,2.772985375581063e-14,2.3863225,GAPDH,2.7702157670759957e-11,0.6815097,SST,1.3102752770169603e-08,4.223824,DGLUCY,0.003888251577154238,3.591024,SLAIN2,0.002076019616864054,7.3791647,SLC4A1,5.185028408849779e-37,10.170384,FAM237B,0.015529268539325949,8.231518,C6orf58,0.04513080419908747,8.481569,TMOD4,0.05010444484853589,2.1155353,FTH1,0.01623168951078905,1.3244003,CREG1,0.1294741347739449,3.3611963,ITSN1,0.1638100557438602,2.8268964,ACOX1,0.1380743881914203,3.0469558,SMYD2,0.16343566975979457,2.773378
6,MSX1,1.430072330048126e-15,0.78581625,Wpkci-7,4.591204095380907e-44,1.4688681,TMEM100,1.8967398525411483e-30,2.3582022,FGF18,1.7266439917060269e-25,1.6517228,RDH10,3.5269428766244354e-18,1.8747494,HOXA11,3.2201033969309506e-30,1.8791425,NOTCH1,1.4311156051214344e-38,2.14324,S100A11,1.5942454270498616e-36,4.343013,HMX2,0.014085653680548968,23.578836,ANO3,8.916281808103608e-12,2.8796132,HOXD13,5.372022506552082e-11,3.209909,angiopoietin-2,3.416881024232202e-07,3.026271,DDC,0.006909710153219453,5.191115,FAM13C,0.004695146022295767,6.681309,TSPO2,7.405603230131864e-35,8.328213,NINJ2,0.029181448033201333,6.985688,IL17RA,0.05288723416681466,6.6842823,CCT5,0.0596803024781939,0.77718407,PARP1,0.019018671375783204,1.5554368,RMND1,0.12698365534756578,2.3810918,RAB6A,0.15719067126404473,1.2840909,HSD11B2,0.17093984077529878,10.158378,SYTL4,0.18029191889228355,6.0604877
7,BAMBI,7.480961239674897e-13,1.0237737,PGM1,4.4409740625687624e-41,2.284876,SMOC1,4.15467849085442e-27,1.5758396,HOXA7,4.1075759252159633e-25,1.5773414,CD24,2.322251471637842e-17,0.98671937,ACVR2B,4.803905157790838e-28,1.870413,COLEC12,3.223258180876742e-37,2.9694095,KRT19,5.951723788685646e-32,2.3987412,CDH5,0.01638084345616199,2.604474,PITX2,2.1351090755232435e-11,3.6472106,HOXA9,5.1640462622679384e-11,1.6512654,CDH2,1.3465686011912877e-05,0.84868366,PSKH2,0.01498766094821382,6.7656484,ITGAV,0.027436546321521604,1.6824939,FTH1,9.345092670229671e-42,3.691725,RAB30,0.06782343533902874,1.2885624,NDUFS8,0.08432109577275189,0.9498149,AIP,0.06191158054724193,2.3538704,SERBP1,0.019074220505291135,1.1781086,RNF152,0.14111295330943363,3.0915093,NUDT14,0.18160642313769973,2.5747604,ASPG,0.16994293563981372,2.5599725,NTPCR,0.17197382136798126,2.4886158
8,HOXD8,8.878413994197208e-11,1.1510404,ING5,1.3789798336105303e-40,2.706577,CLEC19A,3.283069853226791e-23,1.3545921,WNT5A,1.608004880999256e-23,1.2595,CLEC19A,7.445428330601469e-17,1.2682797,PTN,1.5252766103749174e-26,1.9943256,TMSB4X,2.577323518987202e-37,1.2425715,IRF6,1.4045026057389342e-30,3.532452,PTPN4,0.01937498948776577,3.2491379,Wpkci-7,5.21195527449369e-11,1.2714196,NREP,2.056743114025413e-10,1.8214068,FOXA1,0.00014357426607154714,2.934396,RTN4R,0.017906446044007953,6.0948634,GTSF1,0.03350756152824642,3.0424843,TFRC,3.521725727831276e-27,6.015926,GOLIM4,0.07089233085231332,1.5355629,IFT46,0.09050883858792116,2.0902028,TLE4,0.06676401322626663,2.4045105,HADHB,0.020928398537774832,1.9545934,ARPC2,0.14834709695609627,1.6119407,MTHFD1L,0.19398754586084557,5.647775,PAIP1,0.18005963155724344,2.594492,SULF2,0.19840691047884387,4.427672
9,EBF3,2.0137023979557225e-10,1.8002734,YEATS4,2.863113010339483e-39,1.7382566,NOTCH1,1.311939934572264e-22,1.172743,CD99,8.49912173812328e-23,2.1324136,KDR,4.3959418113999714e-16,3.2873528,TUBA1B,1.9741190429116448e-26,0.5985694,DCBLD2,2.6808238406272723e-33,2.2649677,MDK,3.5780331386506113e-29,1.4418088,RGS5,0.020220261027194347,5.319502,FOXA2,1.0034574306970956e-10,3.6066303,HOXD12,4.307143119544857e-10,1.7726574,C9H2ORF82,0.0001618157252690946,3.586125,NPY1R,0.0246971431078992,24.85414,PVALB,0.03909269912847866,1.6284988,UROD,8.356522908042124e-28,5.385091,WDR89,0.0859862835551172,1.4271175,NSUN5,0.0999885873721707,1.9968448,GPATCH1,0.06941499147794494,2.8010056,RSL24D1,0.022058084505189902,2.1231327,KLF10,0.15794192597235754,2.9495344,QRFPR,0.19445615632264937,4.574083,SDSL,0.19224969907551967,4.731235,MTFR1,0.1899626369057435,2.361719
