,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges,7_names,7_pvals,7_logfoldchanges,8_names,8_pvals,8_logfoldchanges,9_names,9_pvals,9_logfoldchanges,10_names,10_pvals,10_logfoldchanges
0,TBXT,7.361398030893176e-142,2.8819337,MSGN1,4.6681104239974334e-95,2.7292457,MEOX1,8.63249794914004e-187,4.89667,HES5,1.4110178193208436e-134,4.9547086,TTC26,5.3153952853621956e-08,5.8769627,TAGLN3,1.6328882086017147e-05,6.9919257,GATB,5.643852213147859e-07,9.465647,PDE8A,0.00033486427035286535,8.482466,MAP7D1,2.0484118950108812e-05,10.909407,AvBD9,0.0013234583213786119,11.389989,ALPL,0.00034967696384785325,29.598942
1,MSX1,1.4984438747056236e-38,1.650983,FGF18,1.9182309897521628e-32,1.4826323,TCF15,4.145757169932373e-119,5.0456805,PMP22,6.250056697962682e-67,4.446266,TMEM116,0.0002962389914493724,7.456641,ABHD3,0.002513482965648662,6.223584,ACE2,3.2267168113920382e-06,9.835753,TMEM120A,0.03457476623019526,3.6111891,SELENOO,0.05668032805933934,4.1441875,RF00151,0.03678750957827166,28.251276,UFM1,0.03955279144647316,2.738524
2,APCDD1,7.042596918342798e-38,2.229591,HAPLN1,9.63863485097469e-20,1.6790284,SHISA2,4.302221120515136e-83,4.066612,GBX2,8.929186708932523e-49,3.0371604,MGARP,0.004632227585914447,8.70774,SGTA,0.016645560500685285,1.594395,DNMT1,0.011272992898743051,2.5362465,DDRGK1,0.0640495272206164,2.9288325,MARCKS,0.05537566217409094,2.9527516,SCYL3,0.08423240635344022,3.0769782,MLLT11,0.08112619847836686,27.78422
3,RASGRP3,3.6378942531634574e-36,2.3850794,CDH2,1.1659586506492866e-13,0.64762735,NBL1,5.422428637164384e-70,3.5398476,RHOB,1.707131594873202e-46,2.805343,LPXN,0.007111950805363911,26.254574,NELL2,0.02054138711694168,2.784533,PPM1B,0.029958120266398162,1.7679085,DRD5,0.08209743288359217,27.370031,DLL1,0.057214398840061235,1.5637407,GATA5,0.10231498189983508,4.3058963,MRPL1,0.09401429727229935,2.6995127
4,CLDN1,1.0326983784089225e-31,2.3659835,AKAP12,3.064820028428539e-13,0.8877096,NPY,8.058217899486253e-60,6.2105584,COTL1,4.09816905909317e-40,1.806428,ZC2HC1B,0.024119852100149414,25.7531,SGPP1,0.027742020712026194,7.717819,PDGFA,0.03345194688657533,1.9239553,C8orf59,0.08467221636985062,3.2027824,ANO2,0.08209743288359217,27.370031,RRP9,0.09735330820831099,2.0908298,PAFAH1B2,0.10512134612307432,1.6539769
5,FGF19,3.5108451904762078e-31,2.9494016,ENHO,4.850663281072436e-13,1.4491562,SMOC1,1.2469338360147634e-50,2.0831196,VIM,1.1789209957633263e-36,1.8809397,TBXT,0.03267275038566345,0.8763671,FABP6,0.035156264802854276,3.5293174,SF3B3,0.03571926279109001,1.0982118,WDR7,0.09233349452977045,8.820417,GNL2,0.08864998005123592,1.8538407,MFGE8,0.09790135378399269,2.0979795,WNT8A,0.11573991235653194,2.578062
6,HOXA7,6.617723595172715e-26,1.599612,CLEC19A,1.3525737709978228e-12,1.0658985,COLEC12,5.524243396676186e-41,2.5220153,MARCKSL1,3.992077024806297e-30,1.4688197,CMTM8,0.045189808132786335,1.1382408,Wpkci-7,0.04769249313369564,1.2260808,PPP2R5A,0.036340924131419074,1.4405583,ETS1,0.10716920464579469,4.176158,GTPBP1,0.09436697142089165,2.1806512,CDH1,0.11150874089800147,3.9078317,NDUFS5,0.13044314106211147,1.3886709
7,WNT8A,5.691541052578844e-24,2.940447,PPFIBP1,3.373786783730063e-11,0.76224947,RNH1,1.5159707588986203e-37,1.6621644,SFRP2,1.5768407122722488e-26,2.5005,ASXL1,0.04631541820952412,2.1319704,PLA2G12A,0.0586539029898088,8.5511265,JAGN1,0.040785871010932416,1.5568597,URI1,0.11159319064755391,3.9986298,SCP2,0.09588490634283027,1.3643279,KRT18,0.1232781466839075,3.9874725,RTN4,0.1377496783651334,1.0314691
8,Wpkci-7,2.7991294635615885e-21,1.5902444,DLL1,2.938886362176204e-09,0.77475494,TMSB4X,2.6020342903360305e-37,1.0141641,ENO1,6.36299174794453e-26,0.74178344,LARP7,0.06213836959302045,1.1211085,CCDC88C,0.06023036773462518,1.9120363,VOPP1,0.04358063470050731,2.4593768,LARP7,0.11155298036543938,1.7381432,DLC1,0.1078342112041965,2.6880357,ATP6V0E2,0.13882832314156912,2.1667206,VAMP7,0.14867825041853328,2.9297447
9,PLPP1,5.793507579851493e-20,1.9165958,DHX37,7.454310015076021e-09,0.7862105,NOTCH1,1.414053431829082e-33,1.474674,APOH,4.29819641068033e-24,5.070042,HAUS2,0.06342984783927226,1.5746472,GRAMD1B,0.06584957089306949,2.8891265,SPARC,0.04920212958050828,1.325265,BEND6,0.12974961551473785,3.4062147,B4GALT1,0.10936782831702922,2.988186,RAB7A,0.1375090411993226,1.3156164,MRPS35,0.1567878211262188,3.278971
10,GJA1,1.0152139279581383e-19,0.9094388,CADM1,2.528835246710731e-08,0.98955667,RHOU,1.3097316440753745e-32,2.1458576,TUBA1B,9.96653008375065e-24,0.5759801,PPP4R2,0.06669087494032182,0.87306637,HSPB11,0.06514185779325321,2.0482047,RFXAP,0.05137943865975741,1.4608687,SMG6,0.12980029519970282,1.6010177,TWISTNB,0.10973965444680385,2.0355387,NATD1,0.15254811892325418,2.881069,ZBTB26,0.15937054970062786,2.9069114
11,WNT5A,3.3406881660680176e-19,1.1157221,TMEM100,1.0253144994354777e-07,1.0571895,DCBLD2,2.212235676857858e-32,1.6944847,TUBB4B,5.311750064254977e-22,1.0585963,DAAM1,0.06785590791802747,1.2375408,gga-mir-1752,0.08316568489041791,25.632736,UBE2E2,0.05263917110944768,1.4483237,TMEM63B,0.13434438564530646,2.2703857,CNTN2,0.1160954707560197,3.799123,ARHGAP44,0.16872719011880008,9.319665,ARL8B,0.15721581441698992,2.0162048
12,BAMBI,5.007222825694518e-18,1.8453965,CORO1C,1.9144970194489676e-07,0.7081352,ANXA5,1.462993286185089e-31,2.0707529,ACVR2B,1.391848350389194e-21,1.5810046,TP53INP1,0.06919313825906738,1.5701157,SLC35E1,0.09166786853477946,3.0990813,HMGN4,0.05634246161635976,0.55924195,DST,0.13828929206001908,3.1810257,ZSWIM7,0.11354320800388731,1.985341,AXIN1,0.17723593897750106,2.5362825,GLB1L2,0.1645498487408864,2.6858277
13,WLS,1.058113131469393e-17,0.92186314,MKP3,2.4980899727623984e-07,1.0310956,MPP6,7.803696387629192e-30,1.8804367,RASL11B,1.611965397027332e-20,2.8129566,MPZL2,0.07166252725359742,2.0451288,CDC73,0.11353023884871383,1.5270083,YPEL1,0.060665895611960584,1.9499553,CCDC126,0.14791797913723653,2.227859,KIF18B,0.1220013242829967,2.4351218,NAA20,0.17374781923302995,1.5703197,RAB1A,0.16132023004874776,1.0873362
14,CD99,2.0938133810238917e-17,1.7678208,ADGRL2,3.022255507587992e-07,0.8231796,POSTN,8.936997014309296e-27,3.041086,HOXA11,3.706040484906442e-20,1.4535104,VMA21,0.07587490963149433,1.4428928,TBC1D19,0.11710716955529638,2.70715,TKT,0.06719284045084055,0.68263954,STXBP1,0.15288794467950548,2.8982,BEND3,0.14359035311085658,3.088394,SLC16A9,0.18043433987586635,2.4979432,SOD3,0.17679233845483994,5.996232
15,EPHA1,1.7937403646990862e-16,2.7223988,APLNR,3.965555484701064e-07,1.991551,TWIST1,8.884777620701787e-25,3.229179,CTGF,5.32121885634227e-19,2.8468125,ASTL,0.0803299408873263,3.5361805,BZFP1,0.12583679370274284,2.50302,SH3YL1,0.0726171687823853,2.8294392,GSTM2,0.15810708768223533,2.8144653,CASK,0.15026448790764352,2.943212,SYNDIG1,0.19262870968392995,2.6612158,DHRS11,0.16861318189463906,2.6452732
16,CHST15,2.3495093070544516e-13,1.0999546,JCAD,6.231567345720704e-07,1.112813,GPC4,4.173175410257774e-25,1.7583878,PODXL,5.901990619272829e-19,2.595174,KLF11,0.07988597235200864,1.7516483,GTF3C1,0.12468323951030248,1.398575,MYCN,0.07179537430072346,1.2976805,LMBR1L,0.18019764673530078,5.329346,CADM1,0.14539915166540798,1.4934359,SEC22A,0.19360443392371618,2.3631854,STK26,0.16526877566666984,1.9529618
17,NKAIN4,1.2937031977149968e-12,1.5311732,MDK,6.212449279733093e-07,0.5181223,LRIG3,2.9923841558814756e-24,1.7582645,HES4,6.514340933884363e-19,1.462646,ING5,0.08111910611002132,1.7405071,VCPIP1,0.129043773607396,2.021098,NEMP1,0.07454744800578691,2.7899668,TMEM50A,0.1755928493900005,2.084567,VRTN,0.15904655280138155,2.1691382,INTS8,0.1936744997293261,2.369091,VRTN,0.1736540567336841,2.862793
18,WNT5B,2.546260024593827e-12,1.6229546,RBM38,7.643273465785938e-07,0.92612076,FSTL1,1.5430665226826666e-22,1.3627124,GNG10,4.88604242867069e-18,1.6994048,SDR16C5,0.08771641164404233,2.4938722,TMEM141,0.13863363500718498,1.3567249,BTBD9,0.07634872420784661,3.5634675,INPP5E,0.1833777789598936,1.8939166,CCNB2,0.15698693610505549,1.1968613,NAT9,0.20484504889163252,4.069084,LZTFL1,0.17172438809991225,2.6094525
19,EPCAM,4.450221990226716e-12,1.8144451,RSPO3,2.186870512955972e-06,1.2415929,PPFIBP1,2.8659931943258107e-22,1.1499135,NREP,2.476189300977643e-17,1.62631,CRABP2,0.08978715484086174,6.145927,NR1H3,0.13909134651968497,1.4799728,ENO1,0.07600987393955393,0.50912637,MOB2,0.18714394323852637,1.8978087,PRTG,0.161612120008326,1.2680699,SKAP2,0.19489349613231993,1.0946206,COMMD3,0.17503315390043098,2.0971773
20,DRAXIN,6.369919884732196e-11,2.1375976,MAD1L1,4.21302123642454e-06,0.9419291,MMD,2.962610110743049e-21,1.6101836,GAPDH,7.196440494849129e-17,0.47390386,GATA2,0.0899621634653113,1.8506534,CRABP-I,0.1419493523586015,2.6132965,SLC35G2,0.08103325318407316,1.9055862,MAFB,0.18914878227584925,2.4381773,RNF130,0.16502382106678234,1.7603155,PCLO,0.2106948805666857,3.847427,DPYSL3,0.1729204499472962,1.6854042
21,MPZL3,7.3663101076955e-11,2.1691682,C10H15ORF59,4.44981222725321e-06,1.8798931,PTN,2.4859746013484764e-21,1.4455943,PAX6,5.095902579449153e-16,4.4668546,GOLGA7,0.09055880521791865,0.80460495,ZCCHC6,0.14720470363388768,1.6052454,UQCRB,0.08006165846625185,0.99100006,CADM1,0.18833634208238706,1.5410984,CLASP1,0.16990790479452406,2.7707593,DNAJC10,0.20788348605348364,2.455319,RAB2A,0.1748868744411187,1.6136609
22,WNT3A,7.334853071399604e-11,1.9576942,PTTG1IP,2.138190243142846e-05,0.90783095,CYP1B1,2.851644897775885e-20,3.2552946,SP8,6.071290044896753e-16,1.6814537,MAP3K5,0.09241291103346266,3.243391,CD81,0.15495115468885906,1.8291088,SAV1,0.08248959415711887,1.2010645,AASDH,0.19699513209849764,4.292489,GHRL,0.1751687136511282,5.9149804,CFLAR,0.2117358975521011,3.8149605,UBN1,0.17786212618961877,2.5216541
