,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges
0,CLDN1,2.39799970114073e-35,2.7341642,RASGRP3,2.166058519096986e-34,2.6549308,APBB1IP,9.350424678516435e-23,6.6472635,TENM4,8.73848810289909e-06,7.181995,TMEM64,0.0005912041836841503,5.0554047,TMEM163,1.0685854156149554e-07,10.563497
1,Wpkci-7,1.7275889438059044e-33,2.432867,HOXD12,2.635989928219155e-20,2.3717954,CALM1,0.0014529203066975622,1.0867382,CUL4B,0.013346446064923303,7.0563974,CNGB3,0.013182134515174441,6.6274257,SIRT2,0.05405926220181715,2.2821462
2,PLPP1,3.082955947952603e-23,2.4277077,CD99,5.753270543208723e-16,2.240777,EEF1A1,0.0015427438893163645,0.49139032,RNPC3,0.058042300471892974,2.9781616,ST14,0.04971381340897782,2.2177317,ECI1,0.05310578992325458,1.9498512
3,PRTG,6.144111719313186e-18,1.4263253,HOXA9,6.318879412579296e-16,2.0175135,JARID2,0.0031221408486833053,1.2849257,RUVBL1,0.06805707780067484,1.3198367,TCF25,0.07173298636458868,2.2201648,ATP5PB,0.05408651991705553,1.0110816
4,DRAXIN,1.5033635609321898e-15,3.2438517,HOXA11,7.251082181458077e-11,1.7527468,HOXA9,0.00428122643582127,1.3462583,VTI1A,0.07058387524860879,2.7012925,SYNDIG1,0.08541675750210526,2.4842312,NOP14,0.05495922635424205,1.9158655
5,NKAIN4,1.22297964085537e-15,2.0291374,SCD,5.593477403683064e-10,1.4069318,RALY,0.004727882264871429,2.5220442,SNX17,0.0697626333826727,1.7094247,AHSG,0.09454811394327342,7.2592134,PRRC2C,0.055076110711985975,1.2671993
6,SP5,4.099276841858034e-13,1.3494521,HOXC9,3.421324019953104e-09,2.076966,GYG2,0.005750273675054037,26.75315,COQ10A,0.08289751340295272,26.562836,TP53RK,0.09264941321664832,1.9752847,WNT5B,0.062359753091370956,2.1655648
7,WNT8A,1.9677420778781885e-10,1.6045239,HOXC10,5.862262114753849e-09,1.8397716,SAT1,0.005627662530689441,1.7822315,DDR1,0.08469640251570439,2.5379639,ANAPC5,0.10326451272750753,2.1686466,UBE2R2,0.06771827458820001,2.7103088
8,VRTN,1.22689951174066e-09,1.9081414,GREB1,6.866778856519704e-09,1.8902485,HOXB5,0.007009212074173367,1.4173731,ZNF384,0.08441887918185986,2.4239273,SERPINI1,0.10731534122164228,2.7256424,TOP3B,0.06764220616657288,2.5436797
9,NT5DC2,1.2481421637708525e-08,1.0825561,WNT5A,2.2515416551970238e-08,1.0484105,ARHGEF9,0.007343418689161025,1.6734581,ACVR2B,0.0995871741119305,1.375995,PRAG1,0.12202903092131615,3.659781,EIF4EBP2,0.06924134064433977,1.7484187
10,EPCAM,1.8948661383706747e-08,1.5758702,ACTG1,2.3104358475459106e-08,0.60531193,METTL6,0.007453766753421524,1.2668949,ITGA4,0.10682746024211252,2.7557588,RNF6,0.14568777991741708,3.0716994,PSMC2,0.06969781339198591,1.5260686
11,EPHA1,7.271623342057311e-08,1.6052204,S100A6,1.3357187951496153e-07,2.0550144,HOXA11,0.008093868578906345,1.3057756,USP1,0.10549741402479555,1.4736248,SLC1A4,0.14420888389491812,2.2460942,TRRAP,0.07928902892453094,3.2044568
12,TMSB15B,1.0639739265897107e-07,0.5400997,HOXB5,2.3142952179019316e-07,1.489554,HOXD11,0.008877597798770707,1.6697598,SLC25A1,0.10736004497791427,2.1445117,NUFIP1,0.14685042474661514,1.3962796,MESP1,0.0845542063467818,2.7711449
13,CDH2,2.776719776463158e-07,0.6097838,ARL1,3.188236020514886e-07,1.2963462,CCT8,0.008728980395395713,0.8537286,PTRH2,0.10737713019456196,1.6239969,NOTCH1,0.14918233035599854,1.0637035,HSBP1,0.07917212288277432,1.5462605
