index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden
0-0,0,bcCRII,st51,9426.0,None,d3,d3_1,2489,9426.0,0.002547048,-0.096648335,S,1
1-0,0,bcCHDY,st51,1714.0,None,d3,d3_1,889,1714.0,0.07532091,-0.20871302,S,0
2-0,0,bcDLYP,st51,1027.0,None,d3,d3_1,715,1027.0,-0.29170159,0.5256933,G2M,4
3-0,0,bcENRX,st51,997.0,None,d3,d3_1,749,997.0,-0.19995809,0.03412157,G2M,0
4-0,0,bcAUVT,st51,816.0,None,d3,d3_1,704,816.0,-0.015441135,0.36454725,G2M,2
128-0,0,bcDVHO,st51,7124.0,None,d3,d3_1,2304,7124.0,-0.06902902,-0.012350926,G1,1
129-0,0,bcCEUU,st51,1824.0,None,d3,d3_1,927,1824.0,-0.041377485,0.1348931,G2M,0
130-0,0,bcGJSL,st51,1204.0,None,d3,d3_1,749,1204.0,0.082487874,-0.048091188,S,2
131-0,0,bcALOB,st51,1062.0,None,d3,d3_1,726,1062.0,0.13738921,0.22081284,G2M,1
256-0,0,bcAWJQ,st51,8925.0,None,d3,d3_1,2473,8925.0,0.8545897,-0.35295296,S,1
257-0,0,bcCGPQ,st51,1712.0,None,d3,d3_1,892,1712.0,-0.09296388,-0.04582996,G1,0
258-0,0,bcHWPU,st51,1225.0,None,d3,d3_1,761,1225.0,-0.057359282,0.22288758,G2M,2
259-0,0,bcAANW,st51,1149.0,None,d3,d3_1,686,1149.0,0.049232714,-0.26310715,S,1
260-0,0,bcFJQY,st51,912.0,None,d3,d3_1,684,912.0,-0.30220336,-0.30508694,G1,2
384-0,0,bcAXFC,st51,8139.0,None,d3,d3_1,2364,8139.0,-0.011576075,-0.1535568,G1,5
385-0,0,bcCNGR,st51,1717.0,None,d3,d3_1,888,1717.0,-0.09653852,-0.08653532,G1,3
386-0,0,bcHVVA,st51,1134.0,None,d3,d3_1,780,1134.0,-0.12998661,-0.007887036,G1,0
387-0,0,bcHKCL,st51,1052.0,None,d3,d3_1,745,1052.0,-0.19140004,0.28831467,G2M,0
388-0,0,bcHYBN,st51,838.0,None,d3,d3_1,691,838.0,-0.028448686,0.111863114,G2M,1
512-0,0,bcEGTY,st51,7358.0,None,d3,d3_1,2209,7358.0,-0.108198464,0.031490576,G2M,0
513-0,0,bcHOSR,st51,1860.0,None,d3,d3_1,891,1860.0,0.012600381,-0.3716398,S,2
514-0,0,bcFQJM,st51,1246.0,None,d3,d3_1,736,1246.0,-0.2885817,-0.16570528,G1,5
515-0,0,bcAFWN,st51,1016.0,None,d3,d3_1,726,1016.0,0.20174965,-0.02505494,S,5
640-0,0,bcELEM,st51,7496.0,None,d3,d3_1,2386,7496.0,-0.14512894,-0.06522701,G1,3
641-0,0,bcCHLN,st51,1897.0,None,d3,d3_1,925,1897.0,-0.13054189,-0.016364537,G1,3
642-0,0,bcFNCJ,st51,1244.0,None,d3,d3_1,834,1244.0,-0.12288961,0.47092578,G2M,3
643-0,0,bcHKBS,st51,977.0,None,d3,d3_1,645,977.0,-0.14512372,-0.123966396,G1,1
644-0,0,bcAWAK,st51,830.0,None,d3,d3_1,708,830.0,0.20136115,-0.14097145,S,0
768-0,0,bcEWZL,st51,6864.0,None,d3,d3_1,2136,6864.0,-0.1435779,0.12884104,G2M,0
769-0,0,bcDHZM,st51,1613.0,None,d3,d3_1,873,1613.0,-0.11575217,0.47321418,G2M,2
770-0,0,bcAOAW,st51,1172.0,None,d3,d3_1,837,1172.0,-0.4899081,-0.24425231,G1,4
771-0,0,bcHZJK,st51,906.0,None,d3,d3_1,733,906.0,0.1456022,0.28355992,G2M,0
772-0,0,bcFKTL,st51,782.0,None,d3,d3_1,704,782.0,-0.2718916,0.112972766,G2M,0
896-0,0,bcEUIM,st51,7095.0,None,d3,d3_1,2156,7095.0,0.060590286,0.03177966,S,0
897-0,0,bcCPPA,st51,1738.0,None,d3,d3_1,889,1738.0,-0.22244427,0.19670257,G2M,1
898-0,0,bcAEEZ,st51,1285.0,None,d3,d3_1,803,1285.0,0.06264754,-0.07669736,S,2
899-0,0,bcGOKD,st51,965.0,None,d3,d3_1,753,965.0,-0.2717733,0.026550977,G2M,0
900-0,0,bcEHCT,st51,990.0,None,d3,d3_1,695,990.0,0.012126951,-0.27689832,S,1
1024-0,0,bcFBMI,st51,6958.0,None,d3,d3_1,2156,6958.0,-0.09784097,0.17509641,G2M,2
1025-0,0,bcHPFV,st51,1675.0,None,d3,d3_1,903,1675.0,-0.16291054,0.028644793,G2M,4
1026-0,0,bcHNPM,st51,1362.0,None,d3,d3_1,819,1362.0,-0.03196169,-0.070782624,G1,1
1027-0,0,bcADFD,st51,929.0,None,d3,d3_1,702,929.0,0.18704754,-0.012934316,S,1
1028-0,0,bcHKVA,st51,759.0,None,d3,d3_1,713,759.0,0.28132194,-0.05973719,S,3
1152-0,0,bcFQKV,st51,6372.0,None,d3,d3_1,2095,6372.0,-0.2294998,0.36292168,G2M,1
1153-0,0,bcAVOX,st51,1660.0,None,d3,d3_1,901,1660.0,-0.16739742,-0.093754716,G1,1
1154-0,0,bcAXQD,st51,1201.0,None,d3,d3_1,797,1201.0,0.10488972,0.10708453,G2M,0
1155-0,0,bcAALY,st51,973.0,None,d3,d3_1,711,973.0,-0.034463912,-0.14240396,G1,2
1280-0,0,bcAMPK,st51,6067.0,None,d3,d3_1,1971,6067.0,0.00038411096,0.15779673,G2M,0
1281-0,0,bcFINL,st51,1824.0,None,d3,d3_1,853,1824.0,0.082953386,-0.048987318,S,3
1282-0,0,bcCXBG,st51,1184.0,None,d3,d3_1,773,1184.0,-0.09981714,0.42539054,G2M,1
1283-0,0,bcEOSK,st51,941.0,None,d3,d3_1,739,941.0,0.17069097,0.08654825,S,2
1284-0,0,bcCBGH,st51,870.0,None,d3,d3_1,707,870.0,-0.21599023,-0.12064669,G1,2
1408-0,0,bcGCEL,st51,6117.0,None,d3,d3_1,1932,6117.0,-0.14257115,0.15144922,G2M,0
1409-0,0,bcDTEU,st51,1804.0,None,d3,d3_1,912,1804.0,-0.20136698,-0.20738718,G1,0
1410-0,0,bcBPGE,st51,1464.0,None,d3,d3_1,805,1464.0,0.09493459,0.2929469,G2M,0
1411-0,0,bcENNS,st51,920.0,None,d3,d3_1,754,920.0,0.22910772,-0.19819799,S,2
1536-0,0,bcFTNP,st51,5911.0,None,d3,d3_1,1851,5911.0,-0.0777044,-0.052810866,G1,0
1537-0,0,bcBHIF,st51,1791.0,None,d3,d3_1,959,1791.0,-0.15657994,0.10455336,G2M,4
1538-0,0,bcAVOM,st51,1220.0,None,d3,d3_1,767,1220.0,0.13237582,0.078695394,S,0
1539-0,0,bcFAYB,st51,1007.0,None,d3,d3_1,745,1007.0,0.16765498,-0.15064749,S,1
1540-0,0,bcHIMI,st51,1051.0,None,d3,d3_1,717,1051.0,-0.14523315,0.09140888,G2M,1
1664-0,0,bcERYC,st51,5771.0,None,d3,d3_1,2030,5771.0,0.09009532,-0.20578893,S,4
1665-0,0,bcHNLA,st51,1732.0,None,d3,d3_1,962,1732.0,0.1859139,0.16212592,S,3
1666-0,0,bcBMXV,st51,1143.0,None,d3,d3_1,757,1143.0,-0.082444884,0.06540485,G2M,3
1667-0,0,bcHUZV,st51,898.0,None,d3,d3_1,697,898.0,-0.31035814,-0.08033979,G1,5
1668-0,0,bcBZJU,st51,763.0,None,d3,d3_1,680,763.0,0.26209447,-0.09573811,S,5
1669-0,0,bcGMCT,st51,722.0,None,d3,d3_1,701,722.0,-0.15398513,0.31141856,G2M,4
1792-0,0,bcBSGS,st51,5263.0,None,d3,d3_1,1915,5263.0,0.008556876,-0.23316364,S,1
1793-0,0,bcESSL,st51,1912.0,None,d3,d3_1,1011,1912.0,-0.20650192,0.21810868,G2M,0
1795-0,0,bcBVBS,st51,1099.0,None,d3,d3_1,741,1099.0,0.18083492,0.0061213244,S,4
1920-0,0,bcELBW,st51,5661.0,None,d3,d3_1,1948,5661.0,0.13232258,0.21436046,G2M,2
1921-0,0,bcENWN,st51,2072.0,None,d3,d3_1,918,2072.0,0.35225335,-0.14276809,S,0
1922-0,0,bcEYVJ,st51,1170.0,None,d3,d3_1,798,1170.0,0.14502287,0.039494332,S,0
1923-0,0,bcGQVP,st51,972.0,None,d3,d3_1,747,972.0,-0.04017413,-0.14133024,G1,0
