,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges
0,RPS2,4.3865421966026284e-24,0.7078999,CDH2,8.80436217535895e-66,1.8619887,CLDN1,8.713937936902613e-56,1.5712852,TBXT,8.518303238704139e-26,1.4732763,KRT7,7.526727589557859e-21,3.6035013,CHRD,4.551128853446491e-12,4.0004106,STRA6,0.004775500059602868,3.9051723
1,PLPP1,2.02410140052024e-21,0.8250759,AGRP,1.9006357441742642e-65,2.8674922,PLPP1,4.83826091162327e-37,1.2648227,GJA1,9.245825903123425e-17,1.0188735,KRT18,1.1723099330318687e-11,2.1389177,SHISA2,4.885357373569426e-06,1.5947454,SP5,0.01529041341177678,1.8233786
2,CALM2,2.70687472633682e-21,0.7622021,AKAP12,3.629635137719782e-41,1.9442917,GJA1,2.1543710535271834e-30,1.1255856,DLL1,1.7860461445933325e-15,1.5735183,NDRG1,3.675532754937299e-10,2.6404378,TMSB4X,6.663956806834522e-06,0.5899162,MRPS14,0.04286115317237882,3.236568
3,RPS15A,4.653253467445122e-21,0.63393015,ALDH1A2,1.1351325171272505e-33,2.3215246,SLC16A1,2.694685113861089e-13,0.8472089,CDH2,4.1960670119519544e-13,1.0274833,SOX17,1.0191720815793031e-09,3.0030446,TCF7L2,0.0003790248038036911,1.5516646,TLN2,0.0436498323916804,3.2066524
4,HSP90AA1,8.48587387040535e-21,0.6617485,NUCKS1,3.403110331136627e-32,1.0465351,MSX1,4.603093612490612e-13,1.1217328,WLS,9.900170166391423e-13,1.0548576,ID2,1.8599790955168878e-09,1.123779,APLP2,0.000441430782057036,0.85122347,RPA4,0.04656731214528401,1.8663347
5,LARP7,1.6982388570717334e-19,0.9901344,HSPA5,1.6252069803213383e-24,0.9671811,CTSV,5.498577668251185e-13,1.2865562,MSGN1,8.290736635277206e-12,1.4676542,CALM2,2.4090885274483507e-09,0.9062946,HSP90B1,0.0005425817469038275,0.8622523,IFT22,0.047902068394549115,2.9918602
6,Wpkci-7,6.199757745209623e-17,0.949266,PRTG,1.5295191983557045e-21,1.0238472,PDGFA,1.2912366956890403e-11,1.6699077,FN1,2.5600754356417377e-07,0.8746489,PLCXD1,1.6850854493528587e-08,4.0760083,NOTO,0.0005465536387484803,2.7380512,EI24,0.05062527625773417,1.7188761
7,UCH-L1,3.6447684118137017e-16,0.9082231,PALD1,3.555848163688172e-18,0.78182733,XPA,4.497456578841264e-11,0.77480817,AKAP12,4.613475021918664e-07,0.84377795,ANO3,1.462011233880758e-07,2.4282978,CDH2,0.002428322664893651,0.7078576,RAP1B,0.05618046607782344,1.6146511
8,EEF1A1,1.2438023532705984e-15,0.37629715,CLEC19A,1.9051005596668674e-17,2.0752244,EPCAM,2.218284961581802e-09,0.846643,HSPA5,9.425335147176773e-07,0.6537947,EIF4A2,1.546096974464576e-07,0.94490564,TBXT,0.003918249961829741,0.59137166,PURH,0.0618279525998328,1.524131
9,YWHAE,2.7326024121089433e-15,0.6038809,TUBA1B,3.175669729094702e-16,0.36840427,MFGE8,2.606225112945423e-09,1.1779509,ATP2B1,2.4850542894594054e-05,0.938518,RGN,3.081266848644842e-07,2.2103674,FOXA2,0.004160156366231307,2.198143,MAPRE1,0.0638811561344058,1.1739234
10,ANP32E,4.812318142786997e-15,0.88173765,EEF1D,9.484088298682815e-16,0.48882857,SFRP2,1.3113980624123246e-08,1.4491947,WNT8A,2.6097051143968754e-05,1.5735753,CNN3,1.1717114147202654e-06,0.9542019,SOX17,0.00795591336020407,1.9464334,MRPL45,0.06583019284409312,2.4945223
11,AP1S3,6.298626044244598e-15,1.1847336,APLP2,2.6199712340488207e-15,1.1015571,P4HB,2.263367046761326e-07,0.5154136,KRAS,3.62538597486894e-05,0.7852705,GATA5,1.4390608007351698e-06,1.5907999,GPC4,0.008435556412262069,1.1665219,HDDC2,0.06959576793778936,2.4449282
12,RANBP1,1.1375467014864156e-14,0.65947294,JAM3,9.883240177863874e-15,1.2988157,SP5,3.9628582376023203e-07,0.6748877,MESP1,3.7925616152292436e-05,1.3510985,PITX2,1.0661219359381073e-05,3.7032578,LGMN,0.008488596793578836,1.6253949,G2E3,0.07447577884702967,2.332833
13,PPIA,2.5454944527885978e-14,0.41313347,NOTCH1,1.208130846015961e-14,1.3526769,DAG1,5.620079216694835e-07,1.3647704,WNT5A,6.256736379649263e-05,1.4230579,FAM89A,1.4644068748160357e-05,1.2389485,ARL6IP1,0.009385471472439231,0.9722413,HACD3,0.08753569011942315,2.1339686
14,YWHAQ,8.472017201942139e-14,0.58088434,GATA5,1.2209062801603133e-14,1.5032283,PLS3,1.1015356443453274e-05,0.71026397,APLP2,9.402834636750311e-05,0.7130702,MAPK6,2.3243726440227878e-05,1.166767,SFRP1,0.011104699465663575,1.4516641,NDUFB9,0.09199840022443005,1.3815391
15,CIRBP,1.0348335265693696e-13,0.4875293,FAU,2.8170163165674867e-14,0.4920306,GBX2,2.3264361792939384e-05,1.0398874,APCDD1,0.00013452610374713265,2.1462762,GNB1,5.6266317827156235e-05,0.84439474,HAS2,0.012399144775607293,1.3657764,SNF8,0.09227889209587915,2.077213
16,TMSB15B,3.723861543778988e-13,0.4817806,MSGN1,7.419602008419564e-14,1.4651753,ATP1A1,3.420220247144402e-05,0.80804527,TUBA1C,0.00023089359602477847,0.49563023,COTL1,6.880715196679922e-05,1.7293873,HES4,0.012618682551893664,1.1261731,TIMM13,0.09635100834592238,1.357366
17,RBBP4,4.183603268346105e-13,0.6149017,ACTB,2.2520172115261818e-13,0.32529548,NT5DC2,0.00014286980169290797,0.41101536,CXCL14,0.0005332142351331526,1.5782377,RPS2,7.993062003442032e-05,0.47285146,SERPINE2,0.013987280013967679,1.684729,RNF20,0.10704307124969117,1.8903918
18,PSMA5,5.544187074494335e-13,0.85932803,MEOX1,1.854589051661386e-12,3.1452932,PDIA4,0.00019808661175616248,0.6773679,WNT5B,0.0005938557738723404,1.6124408,PABPC1,0.00010740904871508611,0.5544832,SST,0.022098295771088003,2.8729587,CCT6A,0.12133488247006326,0.9332028
