id	x	y
cell_387-0	5.7450337	2.4585216
cell_394-0	3.3746414	0.0666583
cell_399-0	0.7986349	1.6222891
cell_409-0	11.780147	4.609944
cell_414-0	4.138675	0.05807868
cell_430-0	3.5255497	1.3396492
cell_438-0	-2.0360353	4.994887
cell_443-0	9.338701	2.6667068
cell_460-0	9.332204	2.3226702
cell_468-0	3.356706	1.4318917
cell_477-0	3.220169	4.3373284
cell_481-0	4.635285	2.8225641
cell_489-0	7.0000167	0.15868117
cell_507-0	0.40292215	2.3443642
cell_529-0	0.58601934	1.8301493
cell_536-0	9.16121	1.0719906
cell_541-0	-0.59593195	3.1103032
cell_555-0	3.7517846	1.0332618
cell_558-0	4.6785274	3.303032
cell_562-0	-1.7179383	4.995772
cell_566-0	4.3166738	1.6083541
cell_582-0	1.4940937	1.2787477
cell_584-0	9.604291	1.4993122
cell_585-0	2.5716825	2.3262372
cell_590-0	5.1000595	1.4035844
cell_594-0	-0.4477621	5.5938206
cell_597-0	9.930422	5.9561214
cell_602-0	-0.22741432	2.339933
cell_608-0	-0.48426294	3.7327418
cell_615-0	7.322132	2.13
cell_621-0	-1.0869501	4.6943555
cell_633-0	4.405265	1.3017764
cell_637-0	3.098827	0.51008993
cell_645-0	1.9914157	1.8242353
cell_647-0	9.877829	3.5530202
cell_649-0	8.892625	4.037241
cell_654-0	8.970547	2.1547594
cell_663-0	-1.2397298	4.7420306
cell_665-0	0.042292282	2.698286
cell_671-0	-2.258384	4.689271
cell_676-0	0.53991836	1.5403835
cell_678-0	9.372389	1.6776254
cell_681-0	4.9068246	0.03898661
cell_690-0	9.647316	1.3007834
cell_714-0	4.8403373	1.4556581
cell_740-0	4.3441715	-1.2820622
cell_869-0	3.8349538	-1.3029519
cell_918-0	10.197037	4.9889593
cell_934-0	4.7555757	-0.98480785
cell_948-0	3.4424279	-0.5371717
cell_1000-0	3.9257574	-0.3776448
cell_1002-0	3.581349	-0.992866
cell_1092-0	2.934967	-0.2085235
cell_1106-0	3.1594777	-0.97138214
cell_1147-0	4.629029	3.80169
cell_2677-0	4.416655	-0.14671613
cell_2751-0	4.2408767	-1.5405103
cell_2799-0	4.1263056	-1.5013305
cell_2815-0	3.5638747	-0.70858824
cell_2948-0	4.4740868	0.20883864
cell_3191-0	1.7146413	0.71819615
cell_3249-0	4.6355147	-0.88405204
cell_3251-0	4.0953817	-0.34889433
cell_3317-0	3.235333	-0.1345632
cell_3474-0	9.748582	0.5308512
cell_3513-0	4.780173	-0.4525472
cell_3534-0	4.413451	-0.011010344
cell_3578-0	3.3270211	-0.21503869
cell_3674-0	3.87173	-0.120268896
cell_3761-0	3.5335653	-0.50568
cell_3859-0	4.162024	-0.8149182
cell_3875-0	4.0290017	-0.5964025
cell_3888-0	4.0063987	-0.45435345
cell_3897-0	5.171008	-0.24534324
cell_3950-0	4.5527706	-0.25649235
cell_3968-0	4.8355556	-0.8088024
cell_4063-0	5.2315607	-0.8596201
cell_4186-0	4.4267535	-0.17332795
cell_4202-0	4.4189787	-0.85834146
cell_4298-0	2.5080395	0.22591378
cell_4486-0	3.5951233	-0.6729759
cell_4507-0	5.3677974	-0.5031379
cell_4512-0	4.4878182	-1.0940024
cell_4558-0	4.7654753	-0.30956274
cell_4708-0	3.6894996	-1.1631297
cell_4764-0	3.5344388	-0.50209445
cell_4784-0	1.6556962	5.229772
cell_4785-0	4.2313585	0.118984915
cell_4840-0	5.115251	-0.7080266
cell_4889-0	3.4241855	0.36590013
cell_4898-0	4.7067313	-0.60212946
cell_5043-0	3.4047167	-0.0721006
cell_5187-0	1.8101853	0.7499796
cell_5237-0	4.2739162	-0.987281
cell_5284-0	5.001796	-0.92184687
cell_5322-0	4.317886	-0.4963886
cell_5389-0	3.176118	1.0650548
cell_5427-0	3.1369803	0.19600709
cell_7647-0	2.8686335	1.0341961
cell_7669-0	3.4784968	0.12653296
cell_7704-0	2.6597607	0.61211824
cell_7708-0	0.5006038	1.6847626
cell_7744-0	-0.64303964	1.8086498
cell_7765-0	2.5173872	1.8725433
cell_7777-0	5.9730225	0.5276313
cell_7785-0	-0.92484826	1.8329381
cell_7812-0	-0.31577864	4.662759
cell_7977-0	9.590232	0.58723754
cell_8018-0	0.51337993	1.4143524
cell_8087-0	3.6326942	0.6249376
cell_8092-0	4.7593746	0.52443665
cell_8148-0	3.2847939	2.9995484
cell_8160-0	2.6017568	0.588972
cell_8190-0	2.669862	1.3047438
cell_8202-0	4.371474	-0.06270496
cell_8260-0	2.532214	0.8710417
cell_8262-0	0.34382978	4.7973804
cell_8315-0	4.125753	0.7636731
cell_8329-0	2.2664602	1.5310193
cell_8356-0	-0.330036	2.1833453
cell_8387-0	7.703185	6.729872
cell_8410-0	0.59050614	1.2947522
cell_8423-0	8.082459	6.209553
cell_8425-0	9.053116	0.7979666
cell_8430-0	4.0137334	0.13265252
cell_8435-0	0.084542	2.7090874
cell_8461-0	-0.11283342	1.5571294
cell_8476-0	-1.0801935	4.7238307
cell_8534-0	2.2971	0.86416376
cell_8555-0	-1.4987016	5.267561
cell_8568-0	4.0978556	-0.023072641
cell_8619-0	3.4887023	0.17128037
cell_8654-0	2.6503167	0.99697745
cell_8661-0	2.9573743	1.2475635
cell_8671-0	1.8100216	0.7229628
cell_8709-0	2.8292155	0.55340207
cell_8731-0	4.230986	0.26474863
cell_8738-0	3.5543513	0.6564519
cell_8758-0	0.3410857	1.474963
cell_8805-0	-0.93433094	5.4988694
cell_8859-0	5.329289	0.68988055
cell_8892-0	3.6329904	0.57530403
cell_8906-0	0.3829459	1.1556548
cell_8918-0	5.030124	0.3769843
cell_8926-0	4.888689	0.21822348
cell_8927-0	0.19360606	1.0718173
cell_9175-0	2.673992	0.6028147
cell_9213-0	-1.2148014	1.770282
cell_9240-0	0.27395758	1.5770524
cell_9323-0	-0.13788566	1.2277074
cell_9387-0	4.6135726	0.37338358
cell_9406-0	-2.0293698	5.68942
cell_9453-0	-1.7975949	3.5831034
cell_9474-0	3.692106	-0.31835005
cell_9498-0	4.226045	0.73314935
cell_9570-0	3.671332	1.5392787
cell_9606-0	9.0483465	0.48900267
cell_9625-0	5.6837525	0.05180765
cell_9653-0	-0.08093966	1.1577747
cell_9654-0	-0.6594841	6.134896
cell_9717-0	2.9283552	0.99593365
cell_9719-0	1.1323032	5.1556973
cell_9752-0	2.6032493	0.3919081
cell_9756-0	2.8608763	0.9960215
cell_9784-0	3.0152826	0.69845915
cell_9801-0	3.112611	1.0218267
cell_9817-0	2.5802436	2.6672013
cell_9840-0	0.5744534	1.3031344
cell_9848-0	-0.45663714	1.281426
cell_9850-0	-3.1146376	4.6286616
cell_9856-0	0.9483657	1.0259483
cell_9904-0	4.035545	0.6189872
cell_9911-0	0.25128102	1.3981006
cell_9942-0	3.8120322	0.7915312
cell_9949-0	2.2158935	0.8912743
cell_10043-0	7.918579	6.2107463
cell_10058-0	-0.783856	2.3128836
cell_10061-0	-1.2954894	3.1182542
cell_10110-0	-3.149576	3.8114924
cell_10149-0	4.200838	-0.7283772
cell_10241-0	4.1710668	1.0555182
cell_10266-0	4.7624116	0.6332217
cell_10314-0	2.3133225	3.5444665
cell_10438-0	3.2376976	0.36541617
cell_10441-0	-1.8608197	2.0345085
cell_10465-0	-2.2240632	4.766218
cell_10519-0	1.8417406	0.72766685
cell_10590-0	4.2061253	0.8380103
cell_10621-0	3.2720237	0.42932528
cell_10661-0	4.02893	0.4417103
cell_10690-0	1.4241775	0.8622877
cell_10698-0	1.2106057	1.0063816
cell_10732-0	0.4207991	1.6668187
cell_10741-0	0.07883963	3.3440945
cell_10745-0	3.4779336	1.0622743
cell_10756-0	4.098545	0.43045107
cell_10794-0	4.591394	0.24026635
cell_10801-0	-2.6182203	3.8901222
cell_10804-0	2.7822063	1.6581607
cell_10834-0	4.8888273	0.53302854
cell_10860-0	-1.3228977	2.0734956
cell_10905-0	8.316141	1.7126615
cell_10906-0	0.28631625	1.3535638
cell_10908-0	-1.7377911	1.947874
cell_10909-0	-2.9079976	4.273876
cell_10918-0	4.7458253	1.410932
cell_10957-0	8.495779	3.164825
cell_10994-0	-2.8002431	3.6571217
cell_10996-0	9.446491	1.586613
cell_11038-0	8.539164	1.3115989
cell_11040-0	3.8768864	2.8863266
cell_11076-0	10.342221	2.0849788
cell_11077-0	8.598934	2.4560754
cell_11079-0	9.602101	1.4875872
cell_11081-0	9.33941	1.5463458
cell_11090-0	2.3993526	1.5892601
cell_11099-0	2.4437275	3.0241315
cell_11100-0	6.667705	2.530452
cell_11107-0	-0.7938581	2.422944
cell_11125-0	5.0192924	1.4500563
cell_11128-0	2.1693888	2.038269
cell_11149-0	1.9646446	4.7767344
cell_11180-0	-0.8051125	2.1817102
cell_11193-0	-1.9710621	2.677627
cell_11195-0	6.334079	1.2820711
cell_11198-0	-2.3623707	5.405626
cell_11204-0	-0.69786733	3.5090587
cell_11206-0	-1.9453201	3.862948
cell_11210-0	3.0098925	5.5347776
cell_11217-0	0.30826393	1.5977892
cell_11220-0	10.896462	2.0419354
cell_11250-0	4.042348	3.140614
cell_11267-0	11.2515955	2.9647343
cell_11287-0	0.90908796	2.3229952
cell_11293-0	0.31940755	3.379823
cell_11294-0	-1.0068386	5.615174
cell_11311-0	8.8798065	1.0134346
cell_11349-0	10.893545	2.1823714
cell_11354-0	5.692663	2.2952209
cell_11358-0	11.689415	1.9951433
cell_11364-0	11.8064375	2.8353233
cell_11393-0	8.629931	0.6884848
cell_11411-0	11.240332	2.9648764
cell_11441-0	3.468238	2.393743
cell_11442-0	4.599683	3.2082958
cell_11445-0	7.1863647	6.718295
cell_11471-0	6.4026155	3.2671354
cell_11478-0	5.0433693	2.963371
cell_11494-0	4.486559	0.03967089
cell_11503-0	-3.4561024	3.9403293
cell_11529-0	6.510546	1.1562235
cell_11542-0	-1.8780702	5.3252683
cell_11556-0	2.397996	2.9054317
cell_11569-0	1.6901914	1.6398865
cell_11575-0	7.331821	2.593518
cell_11580-0	2.8493671	3.4881005
cell_11594-0	11.485846	2.1896436
cell_11640-0	11.0097	2.1883116
cell_11647-0	-0.07081778	2.8650088
cell_11659-0	8.252702	2.7762115
cell_11689-0	-2.1731892	4.0023503
cell_11694-0	3.111323	0.97441596
cell_11695-0	-2.4472122	4.989309
cell_11701-0	7.5858274	1.6674893
cell_11705-0	4.3320637	0.9227647
cell_11728-0	3.9119756	3.6298053
cell_11803-0	0.83220446	1.8383317
cell_11811-0	4.49226	1.2039726
cell_11833-0	4.890381	0.81732744
cell_11834-0	-2.2491293	5.194832
cell_11843-0	0.9971626	5.204873
cell_11844-0	2.4723845	3.323172
cell_11866-0	-0.4126989	2.7413006
cell_11871-0	-3.4261365	4.377974
cell_11873-0	-2.5240028	2.944004
cell_11874-0	11.842309	3.0270882
cell_11925-0	-2.8795135	5.329762
cell_11947-0	5.7412405	3.8617842
cell_11972-0	1.1863055	1.8943964
cell_12003-0	3.8752027	1.6002142
cell_12012-0	0.23832975	1.3616459
cell_12015-0	7.866548	6.402238
cell_12018-0	-2.6055958	3.9463637
cell_12035-0	1.8105091	1.577191
cell_12043-0	4.729782	1.8002058
cell_12070-0	-0.005406442	1.6449407
cell_12072-0	9.223622	2.4607923
cell_12077-0	5.8785563	2.596389
cell_12086-0	10.590488	4.869848
cell_12099-0	-2.5591102	4.078298
cell_12107-0	5.592071	2.887351
cell_12109-0	7.4919977	1.430262
cell_12134-0	5.123353	4.244512
cell_12149-0	10.596214	4.456356
cell_12150-0	11.187732	2.9901884
cell_12155-0	10.046435	2.14491
cell_12173-0	4.19026	2.8384254
cell_12174-0	8.977399	1.8695118
cell_12187-0	-3.0416124	4.8411903
cell_12224-0	-0.9910823	1.9979564
cell_12226-0	-2.0650775	4.176019
cell_12244-0	10.022736	1.4502941
cell_12250-0	8.867543	1.2399998
cell_12255-0	4.4797163	3.7926838
cell_12284-0	0.33230054	1.4017575
cell_12308-0	-2.731886	3.9407182
cell_12316-0	6.6977563	2.779346
