id,Myogenesis,Adipogenesis,Angiogenesis,Apoptosis,G2/_checkpoint,Hypoxia,Inflammatory_response,Pluripotency,Cell_cycle,Er_stress,Skeletal_muscle_cell_differentiation,Skeletal_muscle_contraction,Go_skeletal_muscle_tissue_regeneration,Go_skeletal_muscle_organ_development,PSM,NMP,Neural
cell_387-0,0.001697711,0.09212373,-0.123855375,-0.0061978037,-0.06586342,-0.040379398,0.003102511,0.10660372,-0.024322843,0.035860244,0.12071981,-0.056586128,0.16333066,0.028743157,0.35240087,,-0.49641085
cell_394-0,0.022647524,-0.011181807,-0.065591305,0.018079115,-0.18792754,0.070085235,0.02298684,0.039140623,-0.17103976,-0.055502035,0.027270036,-0.07292956,0.1569521,0.00645055,-0.34286618,,-0.49641085
cell_399-0,-0.040649686,0.07183586,-0.123754434,0.007874056,-0.06819952,-0.12518223,0.010973899,-0.022794085,0.09602377,-0.03323011,-0.023185795,-0.025105745,-0.1820483,-0.056937993,1.3334872,,-0.49641085
cell_409-0,0.0076541663,0.014857445,-0.15564269,0.0072784075,-0.030891579,-0.04527539,-0.06761445,0.16575214,-0.1362279,-0.00090908457,0.0063725393,-0.089743935,-0.086019665,-0.07205099,-0.34286618,,-0.49641085
cell_414-0,0.07046801,0.14766313,0.2846824,0.0062459824,0.022863965,-0.033709593,-0.015959581,-0.00056273147,0.037477776,-0.0005085188,0.16497746,0.049024187,0.07617571,0.08242673,-0.34286618,,-0.19448052
cell_430-0,0.04269066,0.085646465,-0.19700818,0.0069484785,-0.18864787,0.006047258,0.051562812,0.029644284,-0.26508567,0.17644893,0.05829939,0.035288833,-0.02783327,0.00542237,0.5182443,,0.21218294
cell_438-0,-0.062087554,-0.0110291615,-0.25151038,-0.13497856,-0.014141881,-0.073881894,0.006150946,0.08944327,0.03630378,0.027784951,0.054659583,-0.10060698,-0.24554563,0.0035802945,0.07416851,,-0.49641085
cell_443-0,-0.027422765,-0.026547216,0.06184134,0.06411094,-0.055151183,0.00074436044,-0.049893912,0.09797094,-0.17687103,0.04434393,-0.053081933,-0.10436119,0.03302282,-0.050564695,-0.34286618,,-0.10184649
cell_460-0,0.10784832,0.01317823,0.1270542,0.051689092,-0.02590516,-0.048770063,-0.004572092,0.35069963,-0.058652773,0.069231406,0.15048786,-0.0888247,-0.0015557702,0.043421,-0.34286618,,0.111865975
cell_468-0,-0.0018138357,0.101515464,-0.11376575,-0.038647544,0.032303844,-0.08234988,-0.008143253,0.017826311,-0.0020939906,0.0811286,0.0842951,-0.015582353,0.14890523,-0.003876254,1.9625424,,-0.49641085
